Year,Month,TotalPopulation,TotalUnemployed,TotalEmployed,UnemploymentRate,EmploymentRate
2000,January,2762,204,2558,7.4,92.7
2000,April,2944,515,2429,17.5,82.6
2000,July,2499,254,2245,10.2,89.9
2000,October,2549,229,2320,9,91.1
2001,January,2567,272,2295,10.6,89.5
2001,April,2781,430,2351,15.5,84.6
2001,July,2698,272,2426,10.1,90
2001,October,2726,245,2481,9,91.1
2002,January,2776,272,2504,9.8,90.3
2002,April,2923,430,2493,14.8,85.3
2002,July,2826,272,2554,9.7,90.4
2002,October,2846,245,2601,8.7,91.4
2003,January,2826,247,2579,8.8,91.3
2003,April,2881,360,2521,12.5,87.6
2003,July,2902,331,2571,11.5,88.6
2003,October,2944,233,2711,8,92.1
2004,January,2988,233,2755,7.8,92.3
2004,April,3078,389,2689,12.7,87.4
2004,July,3012,290,2722,9.7,90.4
2004,October,2929,257,2672,8.8,91.3
2005,January,3017,271,2746,9,91.1
2005,April,3045,295,2750,9.7,90.4
2005,July,3062,306,2756,10,90.1
2005,October,3011,244,2767,8.2,91.9
2006,January,2929,254,2675,8.7,91.4
2006,April,3049,328,2721,10.8,89.3
2006,July,2120,170,1950,8.1,92
2006,October,2846,175,2671,6.2,93.9
2007,January,2064,171,1893,8.3,91.8
2007,April,2943,233,2710,8,92.1
2007,July,2938,198,2740,6.8,93.3
2007,October,2953,177,2776,6,94.1
2008,January,2982,194,2788,6.6,93.5
2008,April,2990,256,2734,8.6,91.5
2008,July,2919,95,2824,3.3,96.8
2008,October,3037,187,2850,6.2,93.9
2009,January,3022,180,2842,6,94.1
2009,April,3162,251,2911,8,92.1
2009,July,3160,233,2927,7.4,92.7
2009,October,3052,201,2851,6.6,93.5
2010,January,3218,192,3026,6,94.1
2010,April,3197,309,2888,9.7,90.4
2010,July,3197,211,2986,6.6,93.5
2010,October,3190,196,2994,6.2,93.9
2011,January,2266,215,2051,9.5,90.6
2011,April,3263,249,3014,7.7,92.4
2011,July,3277,198,3079,6.1,94
2011,October,3347,216,3131,6.5,93.6
2012,January,3168,204,2964,6.5,93.6
2012,April,3270,229,3041,7.1,93
2012,July,3234,208,3026,6.5,93.6
2012,October,3207,208,2999,6.5,93.6
2013,January,3319,198,3121,6,94.1
2013,April,3270,229,3041,7.1,93
2013,July,3234,208,3026,6.5,93.6
2013,October,3207,208,2999,6.5,93.6
2014,January,3301,218,3083,6.7,93.4
2014,April,3348,236,3112,7.1,93
2014,July,3387,204,3183,6.1,94
2014,October,3399,147,3252,4.4,95.7
2015,January,3337,201,3136,6.1,94
2015,April,3420,204,3216,6,94.1
2015,July,3396,191,3205,5.7,94.4
2015,October,3362,140,3222,4.2,95.9
2016,January,,,,,
2016,April,,,,,
2016,July,3466,167,3299,4.9,95.2
2016,October,,,,,
2017,January,,,,,
2017,April,,,,,
2017,July,,,,,
2017,October,,,,,
2018,January,,,,,
2018,April,,,,,
2018,July,,,,,
2018,October,,,,,
2019,January,,,,,
2019,April,,,,,
2019,July,3322,194,3128,5.9,94.2
2019,October,,,,,
2020,January,,,,,
2020,April,3045,417,2628,13.7,86.4
2020,July,,,,,
2020,October,,,,,
