Year,Month,TotalPopulation,TotalUnemployed,TotalEmployed,UnemploymentRate,EmploymentRate
2000,January,3120,317,2803,10.2,89.9
2000,April,3068,383,2685,12.5,87.6
2000,July,2969,393,2576,13.3,86.8
2000,October,3033,302,2731,10,90.1
2001,January,3098,378,2720,12.3,87.8
2001,April,3245,393,2852,12.2,87.9
2001,July,3201,323,2878,10.1,90
2001,October,3272,336,2936,10.3,89.8
2002,January,3256,378,2878,11.7,88.4
2002,April,3225,393,2832,12.2,87.9
2002,July,3220,323,2897,10.1,90
2002,October,3278,336,2942,10.3,89.8
2003,January,3350,369,2981,11.1,89
2003,April,3505,412,3093,11.8,88.3
2003,July,3535,515,3020,14.6,85.5
2003,October,3516,392,3124,11.2,88.9
2004,January,3552,448,3104,12.7,87.4
2004,April,3525,511,3014,14.5,85.6
2004,July,3602,478,3124,13.3,86.8
2004,October,3596,449,3147,12.5,87.6
2005,January,3581,445,3136,12.5,87.6
2005,April,3761,610,3151,16.3,83.8
2005,July,3652,455,3197,12.5,87.6
2005,October,3626,423,3203,11.7,88.4
2006,January,3713,459,3254,12.4,87.7
2006,April,3809,568,3241,15,85.1
2006,July,3798,455,3343,12,88.1
2006,October,3793,449,3344,11.9,88.2
2007,January,3849,372,3477,9.7,90.4
2007,April,3621,189,3432,5.3,94.8
2007,July,3766,432,3334,11.5,88.6
2007,October,3717,321,3396,8.7,91.4
2008,January,3802,355,3447,9.4,90.7
2008,April,3809,383,3426,10.1,90
2008,July,3631,41,3590,1.2,98.9
2008,October,3786,308,3478,8.2,91.9
2009,January,3891,377,3514,9.7,90.4
2009,April,3903,333,3570,8.6,91.5
2009,July,4047,401,3646,10,90.1
2009,October,3983,345,3638,8.7,91.4
2010,January,4098,369,3729,9.1,91
2010,April,3980,393,3587,9.9,90.2
2010,July,4114,340,3774,8.3,91.8
2010,October,4103,330,3773,8.1,92
2011,January,1740,322,1418,18.6,81.5
2011,April,4177,349,3828,8.4,91.7
2011,July,4178,400,3778,9.6,90.5
2011,October,4326,360,3966,8.4,91.7
2012,January,4295,408,3887,9.5,90.6
2012,April,4194,336,3858,8.1,92
2012,July,4307,396,3911,9.2,90.9
2012,October,4248,396,3852,9.4,90.7
2013,January,4325,394,3931,9.2,90.9
2013,April,4194,336,3858,8.1,92
2013,July,4307,396,3911,9.2,90.9
2013,October,4248,396,3852,9.4,90.7
2014,January,4349,383,3966,8.9,91.2
2014,April,4544,393,4151,8.7,91.4
2014,July,4447,371,4076,8.4,91.7
2014,October,4460,331,4129,7.5,92.6
2015,January,4397,373,4024,8.5,91.6
2015,April,4531,360,4171,8,92.1
2015,July,4528,398,4130,8.8,91.3
2015,October,4448,270,4178,6.1,94
2016,January,,,,,
2016,April,,,,,
2016,July,4674,296,4378,6.4,93.7
2016,October,,,,,
2017,January,,,,,
2017,April,,,,,
2017,July,,,,,
2017,October,,,,,
2018,January,,,,,
2018,April,,,,,
2018,July,,,,,
2018,October,,,,,
2019,January,,,,,
2019,April,,,,,
2019,July,4881,252,4629,5.2,94.9
2019,October,,,,,
2020,January,,,,,
2020,April,4462,1219,3243,27.4,72.7
2020,July,,,,,
2020,October,,,,,
