Year,Month,TotalPopulation,TotalUnemployed,TotalEmployed,UnemploymentRate,EmploymentRate
2000,January,1729,138,1591,8,92.1
2000,April,1823,248,1575,13.7,86.4
2000,July,1713,182,1531,10.7,89.4
2000,October,1669,147,1522,8.9,91.2
2001,January,1718,186,1532,10.9,89.2
2001,April,1770,229,1541,13,87.1
2001,July,1736,174,1562,10.1,90
2001,October,1769,161,1608,9.2,90.9
2002,January,1729,186,1543,10.8,89.3
2002,April,1794,229,1565,12.8,87.3
2002,July,1783,174,1609,9.8,90.3
2002,October,1734,161,1573,9.3,90.8
2003,January,1747,208,1539,12,88.1
2003,April,1771,213,1558,12.1,88
2003,July,1820,216,1604,11.9,88.2
2003,October,1835,188,1647,10.3,89.8
2004,January,1831,217,1614,11.9,88.2
2004,April,1889,301,1588,16,84.1
2004,July,1888,239,1649,12.7,87.4
2004,October,1870,198,1672,10.6,89.5
2005,January,1862,251,1611,13.5,86.6
2005,April,1881,261,1620,13.9,86.2
2005,July,1886,205,1681,10.9,89.2
2005,October,1854,162,1692,8.8,91.3
2006,January,1906,213,1693,11.2,88.9
2006,April,1948,219,1729,11.3,88.8
2006,July,1933,205,1728,10.7,89.4
2006,October,1909,194,1715,10.2,89.9
2007,January,1917,186,1731,9.8,90.3
2007,April,1912,178,1734,9.4,90.7
2007,July,1887,149,1738,7.9,92.2
2007,October,308,132,176,42.9,57.2
2008,January,1967,174,1793,8.9,91.2
2008,April,1875,172,1703,9.2,90.9
2008,July,1967,95,1872,4.9,95.2
2008,October,1968,156,1812,8,92.1
2009,January,2040,174,1866,8.6,91.5
2009,April,2027,169,1858,8.4,91.7
2009,July,2059,139,1920,6.8,93.3
2009,October,2032,189,1843,9.4,90.7
2010,January,2044,162,1882,8,92.1
2010,April,2089,194,1895,9.3,90.8
2010,July,2129,173,1956,8.2,91.9
2010,October,2128,182,1946,8.6,91.5
2011,January,917,211,706,23.1,77
2011,April,2131,208,1923,9.8,90.3
2011,July,2179,172,2007,7.9,92.2
2011,October,2237,148,2089,6.7,93.4
2012,January,2070,184,1886,8.9,91.2
2012,April,2087,167,1920,8.1,92
2012,July,2119,182,1937,8.6,91.5
2012,October,2072,153,1919,7.4,92.7
2013,January,2141,162,1979,7.6,92.5
2013,April,2087,167,1920,8.1,92
2013,July,2119,182,1937,8.6,91.5
2013,October,2072,153,1919,7.4,92.7
2014,January,2176,201,1975,9.3,90.8
2014,April,2184,200,1984,9.2,90.9
2014,July,2177,170,2007,7.9,92.2
2014,October,370,166,204,44.9,55.2
2015,January,2188,187,2001,8.6,91.5
2015,April,2193,185,2008,8.5,91.6
2015,July,2186,179,2007,8.2,91.9
2015,October,2230,190,2040,8.6,91.5
2016,January,,,,,
2016,April,,,,,
2016,July,2153,116,2037,5.4,94.7
2016,October,,,,,
2017,January,,,,,
2017,April,,,,,
2017,July,,,,,
2017,October,,,,,
2018,January,,,,,
2018,April,,,,,
2018,July,,,,,
2018,October,,,,,
2019,January,,,,,
2019,April,,,,,
2019,July,2235,110,2125,5,95.1
2019,October,,,,,
2020,January,,,,,
2020,April,2159,482,1677,22.4,77.7
2020,July,,,,,
2020,October,,,,,
