Year,Month,TotalPopulation,TotalUnemployed,TotalEmployed,UnemploymentRate,EmploymentRate
2000,January,1050,73,977,7,93.1
2000,April,1061,136,925,12.9,87.2
2000,July,1026,109,917,10.7,89.4
2000,October,1048,90,958,8.6,91.5
2001,January,1067,110,957,10.4,89.7
2001,April,1191,132,1059,11.1,89
2001,July,1118,81,1037,7.3,92.8
2001,October,1152,80,1072,7,93.1
2002,January,1441,110,1331,7.7,92.4
2002,April,1448,132,1316,9.2,90.9
2002,July,1423,81,1342,5.7,94.4
2002,October,1428,80,1348,5.7,94.4
2003,January,1480,136,1344,9.2,90.9
2003,April,1533,186,1347,12.2,87.9
2003,July,1525,157,1368,10.3,89.8
2003,October,14344,135,14209,1,99.1
2004,January,1519,143,1376,9.5,90.6
2004,April,1656,215,1441,13,87.1
2004,July,1569,169,1400,10.8,89.3
2004,October,1588,153,1435,9.7,90.4
2005,January,1554,159,1395,10.3,89.8
2005,April,1622,163,1459,10.1,90
2005,July,1651,145,1506,8.8,91.3
2005,October,1646,135,1511,8.3,91.8
2006,January,1566,142,1424,9.1,91
2006,April,1587,155,1432,9.8,90.3
2006,July,1752,128,1624,7.4,92.7
2006,October,1542,74,1468,4.8,95.3
2007,January,1558,74,1484,4.8,95.3
2007,April,1600,84,1516,5.3,94.8
2007,July,1579,63,1516,4,96.1
2007,October,1551,74,1477,4.8,95.3
2008,January,1577,73,1504,4.7,95.4
2008,April,1627,80,1547,5,95.1
2008,July,1626,78,1548,4.8,95.3
2008,October,1601,61,1540,3.9,96.2
2009,January,1633,54,1579,3.4,96.7
2009,April,1685,74,1611,4.4,95.7
2009,July,1696,87,1609,5.2,94.9
2009,October,1685,60,1625,3.6,96.5
2010,January,1715,89,1626,5.2,94.9
2010,April,1686,75,1611,4.5,95.6
2010,July,1688,70,1618,4.2,95.9
2010,October,1676,63,1613,3.8,96.3
2011,January,1702,55,1647,3.3,96.8
2011,April,1725,69,1656,4,96
2011,July,1765,80,1685,4.6,95.5
2011,October,1806,67,1739,3.8,96.3
2012,January,1707,69,1638,4.1,96
2012,April,1771,80,1691,4.6,95.5
2012,July,1768,77,1691,4.4,95.7
2012,October,1782,74,1708,4.2,95.9
2013,January,1769,85,1684,4.9,95.2
2013,April,1771,80,1691,4.6,95.5
2013,July,1768,77,1691,4.4,95.7
2013,October,1782,74,1708,4.2,95.9
2014,January,1787,71,1716,4,96.1
2014,April,1815,62,1753,3.5,96.6
2014,July,1786,74,1712,4.2,95.9
2014,October,1792,52,1740,3,97.1
2015,January,1769,41,1728,2.4,97.7
2015,April,1859,82,1777,4.5,95.6
2015,July,1803,89,1714,5,95.1
2015,October,1793,43,1750,2.4,97.7
2016,January,,,,,
2016,April,,,,,
2016,July,1932,67,1865,3.5,96.6
2016,October,,,,,
2017,January,,,,,
2017,April,,,,,
2017,July,,,,,
2017,October,,,,,
2018,January,,,,,
2018,April,,,,,
2018,July,,,,,
2018,October,,,,,
2019,January,,,,,
2019,April,,,,,
2019,July,2117,91,2026,4.3,95.8
2019,October,,,,,
2020,January,,,,,
2020,April,1854,393,1461,21.2,78.9
2020,July,,,,,
2020,October,,,,,
