Year,Month,TotalPopulation,TotalUnemployed,TotalEmployed,UnemploymentRate,EmploymentRate
2000,January,1375,83,1292,6.1,94
2000,April,1334,137,1197,10.3,89.8
2000,July,1201,97,1104,8.1,92
2000,October,1299,81,1218,6.3,93.8
2001,January,1313,96,1217,7.4,92.7
2001,April,1376,114,1262,8.3,91.8
2001,July,1361,72,1289,5.3,94.8
2001,October,1351,97,1254,7.2,92.9
2002,January,1271,96,1175,7.6,92.5
2002,April,1738,114,1624,6.6,93.5
2002,July,1696,72,1624,4.3,95.8
2002,October,1720,97,1623,5.7,94.4
2003,January,1741,116,1625,6.7,93.4
2003,April,1851,181,1670,9.8,90.3
2003,July,1798,152,1646,8.5,91.6
2003,October,1802,116,1686,6.5,93.6
2004,January,1822,135,1687,7.5,92.6
2004,April,1938,189,1749,9.8,90.3
2004,July,1852,136,1716,7.4,92.7
2004,October,1842,119,1723,6.5,93.6
2005,January,1901,141,1760,7.5,92.6
2005,April,1888,179,1709,9.5,90.6
2005,July,1918,139,1779,7.3,92.8
2005,October,1935,151,1784,7.9,92.2
2006,January,1820,123,1697,6.8,93.3
2006,April,1888,176,1712,9.4,90.7
2006,July,1287,42,1245,3.3,96.8
2006,October,1874,98,1776,5.3,94.8
2007,January,1794,116,1678,6.5,93.6
2007,April,1901,105,1796,5.6,94.5
2007,July,1803,124,1679,6.9,93.2
2007,October,1868,96,1772,5.2,94.9
2008,January,1816,97,1719,5.4,94.7
2008,April,1858,93,1765,5.1,95
2008,July,1844,42,1802,2.3,97.8
2008,October,1953,82,1871,4.2,95.9
2009,January,1842,79,1763,4.3,95.8
2009,April,1921,100,1821,5.3,94.8
2009,July,1936,111,1825,5.8,94.3
2009,October,1963,48,1915,2.5,97.6
2010,January,1938,101,1837,5.3,94.8
2010,April,2000,129,1871,6.5,93.6
2010,July,1882,76,1806,4.1,96
2010,October,1397,84,1313,6.1,94
2011,January,1945,95,1850,4.9,95.2
2011,April,2044,81,1963,4,96.1
2011,July,2018,105,1913,5.3,94.8
2011,October,2036,79,1957,3.9,96.2
2012,January,2010,88,1922,4.4,95.7
2012,April,2094,89,2005,4.3,95.8
2012,July,2078,104,1974,5.1,95
2012,October,2027,103,1924,5.1,95
2013,January,2044,115,1929,5.7,94.4
2013,April,2094,89,2005,4.3,95.8
2013,July,2078,104,1974,5.1,95
2013,October,2027,103,1924,5.1,95
2014,January,2063,145,1918,7.1,93
2014,April,2137,113,2024,5.3,94.8
2014,July,2076,110,1966,5.3,94.8
2014,October,2182,127,2055,5.9,94.2
2015,January,2152,113,2039,5.3,94.8
2015,April,2133,122,2011,5.8,94.3
2015,July,2023,114,1909,5.7,94.4
2015,October,2120,122,1998,5.8,94.3
2016,January,,,,,
2016,April,,,,,
2016,July,2125,127,1998,6,94.1
2016,October,,,,,
2017,January,,,,,
2017,April,,,,,
2017,July,,,,,
2017,October,,,,,
2018,January,,,,,
2018,April,,,,,
2018,July,,,,,
2018,October,,,,,
2019,January,,,,,
2019,April,,,,,
2019,July,2462,121,2341,5,95.1
2019,October,,,,,
2020,January,,,,,
2020,April,2117,236,1881,11.2,88.9
2020,July,,,,,
2020,October,,,,,
