Year,Month,TotalPopulation,TotalUnemployed,TotalEmployed,UnemploymentRate,EmploymentRate
2000,January,2360,239,2121,10.2,89.9
2000,April,2476,370,2106,15,85.1
2000,July,2212,225,1987,10.2,89.9
2000,October,2286,237,2049,10.4,89.7
2001,January,2312,287,2025,12.5,87.6
2001,April,2414,373,2041,15.5,84.6
2001,July,2328,245,2083,10.6,89.5
2001,October,2420,240,2180,10,90.1
2002,January,2448,287,2161,11.8,88.3
2002,April,2507,373,2134,14.9,85.2
2002,July,2425,245,2180,10.2,89.9
2002,October,2363,240,2123,10.2,89.9
2003,January,2401,281,2120,11.8,88.3
2003,April,2365,324,2041,13.7,86.4
2003,July,2478,357,2121,14.5,85.6
2003,October,2520,297,2223,11.8,88.3
2004,January,2550,316,2234,12.4,87.7
2004,April,2584,392,2192,15.2,84.9
2004,July,2550,327,2223,12.9,87.2
2004,October,2525,301,2224,12,88.1
2005,January,2591,318,2273,12.3,87.8
2005,April,2693,393,2300,14.6,85.5
2005,July,2651,317,2334,12,88.1
2005,October,2742,320,2422,11.7,88.4
2006,January,2751,337,2414,12.3,87.8
2006,April,2840,318,2522,11.2,88.9
2006,July,3049,197,2852,6.5,93.6
2006,October,2559,207,2352,8.1,92
2007,January,2731,206,2525,7.6,92.5
2007,April,2787,160,2627,5.8,94.3
2007,July,2758,191,2567,7,93.1
2007,October,2749,161,2588,5.9,94.2
2008,January,2771,190,2581,6.9,93.2
2008,April,2783,215,2568,7.8,92.3
2008,July,2851,204,2647,7.2,92.9
2008,October,2865,166,2699,5.8,94.3
2009,January,2833,222,2611,7.9,92.2
2009,April,2846,207,2639,7.3,92.8
2009,July,2938,208,2730,7.1,93
2009,October,2941,226,2715,7.7,92.4
2010,January,2969,241,2728,8.2,91.9
2010,April,3055,263,2792,8.7,91.4
2010,July,3084,185,2899,6,94.1
2010,October,3051,234,2817,7.7,92.4
2011,January,3306,243,3063,7.4,92.7
2011,April,3112,194,2918,6.3,93.8
2011,July,3150,197,2953,6.3,93.8
2011,October,3227,196,3031,6.1,94
2012,January,3141,236,2905,7.6,92.5
2012,April,3246,235,3011,7.3,92.8
2012,July,3112,222,2890,7.2,92.9
2012,October,3101,203,2898,6.6,93.5
2013,January,3138,231,2907,7.4,92.7
2013,April,3246,235,3011,7.3,92.8
2013,July,3112,222,2890,7.2,92.9
2013,October,3101,203,2898,6.6,93.5
2014,January,3168,209,2959,6.6,93.5
2014,April,3323,197,3126,6,94.1
2014,July,5064,1955,3109,38.7,61.4
2014,October,3284,178,3106,5.5,94.6
2015,January,3442,221,3221,6.5,93.6
2015,April,3495,221,3274,6.4,93.7
2015,July,3322,187,3135,5.7,94.4
2015,October,3411,183,3228,5.4,94.7
2016,January,,,,,
2016,April,,,,,
2016,July,3340,157,3183,4.8,95.3
2016,October,,,,,
2017,January,,,,,
2017,April,,,,,
2017,July,,,,,
2017,October,,,,,
2018,January,,,,,
2018,April,,,,,
2018,July,,,,,
2018,October,,,,,
2019,January,,,,,
2019,April,,,,,
2019,July,3295,198,3097,6.1,94
2019,October,,,,,
2020,January,,,,,
2020,April,3108,519,2589,16.7,83.4
2020,July,,,,,
2020,October,,,,,
